case,solver,contexts,observables,contextual,kernel_contexts,verified,elapsed_ms,error
pm_plus_0_disconnected,span,6,9,True,6,True,0.1775,
pm_plus_0_disconnected,bounded_weight_6,6,9,True,6,True,0.1665,
pm_plus_0_disconnected,branch_bound,6,9,True,6,True,0.169,
pm_plus_0_disconnected,auto,6,9,True,6,True,0.1679,
pm_plus_25_disconnected,span,31,84,True,6,True,0.5326,
pm_plus_25_disconnected,bounded_weight_6,31,84,True,6,True,0.5044,
pm_plus_25_disconnected,branch_bound,31,84,True,6,True,0.524,
pm_plus_25_disconnected,auto,31,84,True,6,True,0.624,
pm_plus_100_disconnected,span,106,309,True,6,True,1.7172,
pm_plus_100_disconnected,bounded_weight_6,106,309,True,6,True,1.5984,
pm_plus_100_disconnected,branch_bound,106,309,True,6,True,1.6463,
pm_plus_100_disconnected,auto,106,309,True,6,True,2.0006,
pm_plus_5_connected_ladder,span,11,19,True,6,True,0.2236,
pm_plus_5_connected_ladder,bounded_weight_6,11,19,True,6,True,0.4987,
pm_plus_5_connected_ladder,branch_bound,11,19,True,6,True,0.215,
pm_plus_5_connected_ladder,auto,11,19,True,6,True,0.2548,
pm_plus_10_connected_ladder,span,16,29,True,6,True,0.2962,
pm_plus_10_connected_ladder,bounded_weight_6,16,29,True,6,True,2.3851,
pm_plus_10_connected_ladder,branch_bound,16,29,True,6,True,0.2712,
pm_plus_10_connected_ladder,auto,16,29,True,6,True,0.3595,
